Designator,Mid X,Mid Y,Layer,Rotation
+5V,49.53,37.00,Top,180.0
+15V,49.53,53.50,Top,0.0
-15V,49.53,61.75,Top,0.0
C1,27.30,45.72,Top,270.0
C2,34.29,20.32,Top,0.0
C3,27.30,60.96,Top,270.0
C4,20.32,20.32,Top,90.0
C5,27.30,33.02,Top,90.0
C6,27.30,73.66,Top,0.0
C7,19.69,45.72,Top,270.0
C8,27.30,20.32,Top,90.0
C9,19.69,60.96,Top,270.0
G,44.45,78.25,Top,0.0
GND,49.53,45.25,Top,180.0
KK1, 7.62,65.41,Top,90.0
KK2, 7.62,41.27,Top,90.0
KK3, 7.62,17.14,Top,90.0
L,44.45,94.75,Top,0.0
N,44.45,86.50,Top,0.0
R1,15.24,27.30,Top,180.0
R2,15.24,31.12,Top,0.0
R3,15.24,51.44,Top,0.0
R4,15.24,55.25,Top,180.0
R5, 6.35,29.21,Top,270.0
R6, 6.35,53.34,Top,270.0
X1,32.38, 5.08,Top,0.0
X2, 6.35,93.34,Top,270.0
